user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
총쏘는방법잊음,MASTER II,2624.0,UNRANK,2000.0,be005cfda14380a5ab1f0e965bdbcb61
Nandari,GRAND MASTER III,3504.0,GRAND MASTER III,3516.0,1dcd6b5f45db490fbf8321ceb43352fc
rodsfromgod,GOLD II,2067.0,UNRANK,1950.0,10706f53ff802d275825ee36c15c7554
서든러_25682744,,,,,59c2c01525734e37da87d6f6653295b1
♡시연,UNRANK,1400.0,GOLD II,2121.0,6f646e98f6cbe679aacbfe14733691ca
입속,UNRANK,2250.0,MASTER I,2451.0,e6c831cafc641abaf4336f8b28a58142
계정ㅃㅃ합니다,UNRANK,1973.0,MASTER I,2480.0,1ef648ff7e16c517cec9b71110978e27
보비,GOLD II,2011.0,UNRANK,1956.0,9cd47aec7dfdd7f51ed31f1520caf251
meyuu,MASTER II,2775.0,SILVER III,1736.0,07bf9dd59261298e26f3e5b169a778dd
그림죠,UNRANK,1400.0,UNRANK,1400.0,3448d8af4b56d5748ba5104f54c330ef
승환,UNRANK,1500.0,MASTER I,2479.0,223dc4b251c64a10660866406caa8daf
준이,MASTER II,2773.0,MASTER III,2854.0,d3315dfb5018f3acb0fc9932d90266c3
훈♡,GOLD III,2399.0,MASTER II,2643.0,58f18738ea6585757975e8f70991bbbd
IIlllIlllIlII,GOLD III,2206.0,UNRANK,1800.0,34114a81e834c9467e9c9bd5ffbbfee2
사탄、,UNRANK,1400.0,UNRANK,1400.0,337a7817d589999370235ce3bfd4cb44
시단,MASTER I,2579.0,MASTER I,2599.0,09dc7f714499c12dbf439ac7725247b4
lIIIllIII★,UNRANK,1400.0,UNRANK,1400.0,741b229d713260f2539035b1fdeeeef3
랩,UNRANK,1950.0,UNRANK,1950.0,4dc9515741bcc25dac7398682090c42d
핵,GOLD III,2379.0,GOLD I,1999.0,bc0c6b33bb6dec1f7544163c79f9166d
Loyal,UNRANK,1540.0,UNRANK,1400.0,63a891307be8815c201667d80d639a56
제린힝,SILVER II,1590.0,UNRANK,1750.0,c55e90223e61741aff2c9ce6076ff126
John_Wick。,UNRANK,1400.0,UNRANK,1400.0,b53fea4650f6aaa0dce64c16ea2f7f66
IIllIlll,GOLD II,2116.0,UNRANK,1950.0,610f234b3542806e2b0c6e5674aa5a68
waterbomb☆,MASTER III,2927.0,GRAND MASTER I,3140.0,4bd46191f5c81da3a8178827bb144913
이순아,UNRANK,1400.0,UNRANK,1400.0,e1647cc09499823f4b0fafd6323bb2c3
플란다르,UNRANK,1400.0,UNRANK,1400.0,34384d6b88c86036563b9f2f395903e2
영근,UNRANK,1500.0,UNRANK,1500.0,61638c71abdeafdf22d5d03e78d0eb90
끝,MASTER I,2572.0,UNRANK,2400.0,fb60214fffa137c2fbb198141346ab52
"Ck""쭈니",UNRANK,1555.0,MASTER I,2406.0,2201e38168ca744bc2de0b894831b828
wagurikaoruko,UNRANK,1400.0,UNRANK,1400.0,3c475d36a9a7687ef34150e8194bc33d
