ouid,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,user_date_create,manner_score,clan_flag
8d5612676718a14fade04f2cb91561c0,48.0,345.0,50.0,56.166668,56.0,67.0,51.0,GOLD I,1996.0,GOLD I,1999.0,2008-10-20,3.0,1
648fbbc694e660a33b8cef0cbae3f1d9,49.0,268.0,100.0,85.333336,75.0,99.666664,73.666664,UNRANK,1799.0,GOLD III,2250.0,2014-06-05,3.0,1
12ae316087ba4a9e3ea486120d61efe7,50.0,132.0,51.666664,53.500004,55.333332,64.983162,50.0,GOLD II,2199.0,GOLD I,1976.0,2012-01-27,3.0,1
27717da7b2d71df52896180856ccbea8,53.0,1517.0,100.0,61.666668,64.666664,71.333336,57.666668,SILVER III,1799.0,GRAND MASTER I,3092.0,2010-03-22,3.0,1
55f3c861f0b35e0633e647c476cb795e,54.0,84.0,60.000004,54.000004,0.0,61.333332,50.0,GOLD II,2199.0,UNRANK,1800.0,2013-07-31,3.0,1
99bf573152209e7f1cdf6db6bedc772f,54.0,147072.0,96.666664,61.5,65.333328,74.666664,67.0,UNRANK,1950.0,MASTER I,2599.0,2012-06-28,-1.0,1
6d5edf92a4ea7f3d18c806c00a3c9593,55.0,34.0,100.0,76.333336,88.666664,83.666664,90.666664,UNRANK,2450.0,LEGEND,3667.0,2012-01-21,3.0,1
0d9807ab206e5a2172f57ec9f50bea98,57.0,46.0,100.0,75.666664,86.0,96.333336,80.0,GRAND MASTER I,3026.0,GOLD III,2374.0,2021-03-02,3.0,1
dc0559231f37697e31549b40fd7de706,58.0,203.0,100.0,64.833328,68.666664,72.666664,74.333336,UNRANK,1400.0,UNRANK,1400.0,2014-02-22,3.0,1
284876168e1a9d0eda99ab4b771b5286,59.0,725.0,50.0,49.833332,50.495052,56.666668,43.548386,SILVER III,1646.0,UNRANK,1550.0,2009-07-02,3.0,1
1baf251696168578cce1d408fa8e4f55,60.0,361.0,55.0,60.5,60.666668,77.666664,63.333332,GRAND MASTER I,3050.0,MASTER III,2822.0,2006-02-08,3.0,1
834284fa6e7cf65914a7cde283a21b08,61.0,15.0,91.666672,76.166664,76.642334,0.0,62.626263,MASTER II,2763.0,GOLD III,2372.0,2005-12-28,3.0,1
82235398864c70779300daea913744d3,62.0,913.0,35.0,40.833332,40.333332,36.666668,38.666668,SILVER I,1236.0,UNRANK,1400.0,2006-08-22,3.0,1
52c7326c888b04902d01f399fb912a14,63.0,3990.0,51.666668,57.0,58.333332,68.0,58.333332,UNRANK,2350.0,UNRANK,2350.0,2006-07-31,3.0,1
cfd88abbcc74eb55941d6723fb95dca8,65.0,28.0,50.0,55.0,52.999996,67.0,57.333332,GRAND MASTER I,3100.0,MASTER II,2794.0,2008-09-08,3.0,1
38906987f54adc55e11fb32f4ea76cf2,66.0,384.0,100.0,56.0,33.333332,42.424244,52.666668,BRONZE III,1191.0,UNRANK,1400.0,2012-07-13,3.0,1
d7369b912c3b1bbbbef83a1f2cd3b28d,64.0,45.0,93.333336,72.333336,69.0,89.666664,70.0,UNRANK,2480.0,MASTER III,2999.0,2015-07-23,3.0,1
72ae7ade509d482f7b5aef7450ea073e,67.0,281.0,48.333332,44.166668,45.333336,54.333332,36.666668,GOLD II,2172.0,GOLD II,2069.0,2012-01-22,3.0,1
4b72c0667ec35b31a29fbcf957fe9570,68.0,1095.0,50.0,54.166668,32.0,33.333332,51.666668,SILVER II,1480.0,UNRANK,1500.0,2014-12-13,3.0,1
593d755a6bb13d9838ac833d32f7fce2,68.0,270.0,0.0,80.0,0.0,100.0,0.0,GOLD II,2137.0,UNRANK,1800.0,2016-02-05,3.0,1
ab52d88c8fe807829a92e597cb96e841,70.0,66.0,78.333336,61.333332,65.0,72.666664,60.666668,GRAND MASTER II,3299.0,GRAND MASTER II,3282.0,2011-08-16,3.0,1
45b1a2043c7c65ed1e199fd1ddb185ba,71.0,147.0,45.0,56.0,56.333332,57.333332,50.333332,UNRANK,1894.0,MASTER I,2487.0,2008-03-16,3.0,1
2761c3d84c872da16a42327ef1f77afa,72.0,1152.0,100.0,74.5,28.571428,81.0,53.846153,GOLD I,1998.0,UNRANK,1400.0,2007-12-14,3.0,1
f63e0a98179008ae19faab242211fa02,76.0,581.0,50.0,58.0,61.333332,69.666664,58.333332,MASTER II,2704.0,MASTER II,2766.0,2010-11-27,3.0,1
a985f820f03659e122385ff11646af73,78.0,378.0,40.0,58.666664,56.333332,63.666668,49.0,GOLD I,1927.0,GOLD I,1968.0,2013-09-03,3.0,1
018eec186511a63ea86738c7799252e0,77.0,26.0,100.0,72.166672,75.0,93.0,91.0,UNRANK,1750.0,MASTER I,2494.0,2018-08-05,3.0,1
06ac78845d5e6fe1df8cfd564e6c1234,79.0,481.0,80.0,68.666664,0.0,86.666664,49.666668,GOLD I,1843.0,UNRANK,1750.0,2007-02-07,3.0,1
d8073e6267b2c16c9a9997e546d9b201,81.0,6.0,96.666664,59.666668,51.333332,67.666664,66.0,MASTER II,2772.0,UNRANK,2382.0,2020-04-16,3.0,1
f83605e5fb8eafbf8257291088840791,75.0,2.0,81.666664,54.666668,56.333332,60.666668,58.666668,GOLD II,2032.0,GOLD II,2175.0,2020-05-09,3.0,1
67e18db111ba767dba205c9e0f508bac,82.0,121.0,60.000004,56.92308,60.952385,66.666664,0.0,MASTER III,2859.0,MASTER I,2476.0,2006-09-09,3.0,1
e6ac81dd9c38524bb494689d315e9fd9,82.0,167.0,51.666668,60.333332,59.0,81.333336,65.333336,MASTER I,2455.0,UNRANK,2000.0,2006-03-14,3.0,1
46a6b7706dddde2fd761220d91daccdc,83.0,411.0,53.333336,58.166664,52.666664,69.666664,54.0,MASTER III,2973.0,MASTER II,2799.0,2005-11-16,3.0,1
f33ac3bc20179d08fd3320f33ebfe242,84.0,111.0,98.333336,61.333336,52.333332,72.666664,60.0,UNRANK,2350.0,UNRANK,2350.0,2014-01-18,3.0,1
e017c1019117b828bcbea77f55f506c7,85.0,309.0,60.000004,55.166668,54.666668,69.666664,52.0,GOLD III,2356.0,GOLD III,2399.0,2013-06-30,3.0,1
30a3ec8484ddb8426f5a0d1d7cf86584,87.0,470.0,46.666668,51.0,53.333336,60.666668,51.333332,GOLD III,2331.0,MASTER I,2483.0,2007-09-22,3.0,1
2733455b1b1c04a6614483e86404d594,68.0,43765.0,100.0,56.333332,54.333336,0.0,51.0,UNRANK,1500.0,UNRANK,1500.0,2006-02-25,1.0,1
2e7780aea1fd653770023cc67cb946cf,88.0,476.0,93.333336,58.833332,52.0,68.0,60.173161,UNRANK,1750.0,GOLD II,2171.0,2011-10-16,3.0,1
2ce42ac3d20ab0bcb21b72ff6675ecba,90.0,410.0,95.0,56.666668,55.666668,65.0,58.823528,MASTER I,2521.0,UNRANK,2000.0,2016-08-02,3.0,1
a8f3e2f4ad589abf83ac9febe5a36453,91.0,1123.0,10.0,46.833332,40.333332,54.333332,47.747749,SILVER II,1541.0,UNRANK,1400.0,2013-07-13,3.0,1
26c6ef281b80c34f703a378b34568d80,92.0,22264.0,95.0,64.0,66.0,75.0,65.333336,GOLD I,1828.0,GOLD II,2117.0,2005-12-06,3.0,1
16650f3a8db2d4f4f06f38fb97b67247,94.0,1199.0,100.0,76.0,75.333336,86.333336,70.666664,GOLD II,2070.0,UNRANK,1800.0,2011-09-27,2.0,1
5f5eef029527bcd41e71832d0ef7f570,95.0,818.0,41.463413,56.611568,0.0,66.451614,66.666664,UNRANK,1950.0,GOLD III,2253.0,2010-06-22,3.0,1
123d200947d6d2f5bd5619f4a4bbec68,71.0,53810.0,60.000004,61.0,55.666668,75.666664,52.666668,UNRANK,1500.0,SILVER II,1517.0,2008-10-21,2.0,1
1b0c58caa535ce8c3478d1163f624cd7,97.0,841.0,78.333336,54.333336,48.333332,67.333336,56.333332,SILVER III,1745.0,UNRANK,1550.0,2006-09-30,3.0,1
ae2b0a6d046e21bc22e91816ef5e44ca,98.0,1534.0,50.0,49.166668,48.333332,59.333332,44.333332,MASTER I,2523.0,MASTER III,2802.0,2006-07-06,3.0,1
d6cece07c765e0242e9cadccbb84c6f3,99.0,2001.0,50.0,58.0,60.666668,67.685593,60.204082,GOLD I,1904.0,UNRANK,1600.0,2015-11-21,2.0,1
69c6272c668d9161e20b246a17c53863,101.0,524.0,55.0,60.666668,55.0,74.0,57.333332,UNRANK,2450.0,UNRANK,2450.0,2015-05-05,3.0,1
8970504ec5284edfe946feb968f236de,101.0,3107.0,48.333332,55.0,55.333336,64.0,55.333332,MASTER III,2825.0,MASTER II,2673.0,2012-12-16,3.0,1
b3ce20e4e1b749d2ea7b9c5bd8ea6d3a,103.0,1731.0,100.0,80.666664,73.0,85.666664,71.0,UNRANK,2350.0,UNRANK,2350.0,2016-01-30,3.0,1
1d8ba77e386d4d1f490834345f368143,106.0,760.0,78.333336,62.0,63.0,82.333336,65.333336,MASTER II,2759.0,GRAND MASTER III,3469.0,2016-11-25,3.0,1
ea36a0969328927ce4e7ded3976d1fac,105.0,10012.0,58.333332,50.333332,53.333332,55.633804,51.0,UNRANK,1400.0,UNRANK,1400.0,2012-02-22,1.0,1
ab6b970c0d8478a70c80a944de5e33d4,107.0,390.0,76.666664,61.333336,62.333332,0.0,67.14286,MASTER III,2999.0,MASTER III,2999.0,2008-12-28,3.0,1
28ecd94b3460d7b3fe9f9d05e5710427,108.0,187014.0,50.0,46.166668,47.666664,54.333332,52.0,UNRANK,1400.0,SILVER II,1590.0,2013-03-30,2.0,1
9f1e4ee0b7189cbf26f61d406a4384f9,110.0,123.0,100.0,70.0,71.666664,0.0,0.0,GOLD I,1873.0,UNRANK,1550.0,2013-11-20,3.0,1
0d6653ed2159cb510c14af9c4141ec5b,111.0,100.0,100.0,83.5,84.666672,99.666664,78.0,GOLD II,2150.0,GOLD III,2320.0,2006-11-21,3.0,1
ca9f424f0d15f5cacdfe92ae739ea3fa,113.0,193773.0,68.333336,55.0,54.000004,65.666664,53.666668,GOLD I,1964.0,SILVER III,1767.0,2006-02-15,3.0,1
fc44cb28f2fed2c506495ee7d12712aa,112.0,257.0,48.333332,47.833332,47.413792,50.0,48.666668,UNRANK,1400.0,SILVER III,1692.0,2017-10-03,3.0,1
847c6e4a25a0ae9da06542b8b34e01d4,111.0,115870.0,36.666668,51.0,52.0,55.666668,54.333332,GOLD II,2018.0,MASTER I,2532.0,2013-05-05,3.0,1
8e1780ebc367c8305e7c667bb7af65a2,116.0,147.0,0.0,57.777779,0.0,78.571426,0.0,UNRANK,2121.0,UNRANK,2250.0,2011-07-14,3.0,1
282635d7a7febf09f6c6b75d2b4e53cf,114.0,1922.0,95.0,57.166668,57.666668,65.333336,55.666668,UNRANK,2000.0,UNRANK,2000.0,2012-02-16,3.0,1
fbe05878f8cab4157b041b81814c73fd,117.0,125.0,48.333332,55.5,59.666668,64.333336,55.0,LEGEND,3713.0,GRAND MASTER I,3084.0,2009-07-13,3.0,1
4b1e12a61248eea9ea7f78f71da6b86b,119.0,2709.0,48.333332,49.5,51.666664,67.0,49.666668,SILVER III,1799.0,SILVER III,1639.0,2011-08-05,3.0,1
20e33b6b3e0e957df549b3dd6ebf689d,118.0,352.0,41.666664,48.0,42.253521,58.333332,42.0,SILVER III,1798.0,GOLD I,1896.0,2008-04-09,3.0,1
9a8e0f12855b23c60c1ebe54564e226b,121.0,46550.0,100.0,61.5,62.666668,80.0,63.333332,LEGEND,3671.0,GRAND MASTER I,3122.0,2011-06-19,3.0,1
1ebc186e9f889fa3974a406aa09fc829,122.0,179.0,98.333336,56.5,59.558823,61.333332,55.333332,SILVER III,1775.0,UNRANK,1500.0,2008-09-28,3.0,1
73fda248ff16eede5471edd2d0cc9359,126.0,1902.0,76.666664,57.666664,53.666668,66.0,64.666664,SILVER III,1799.0,UNRANK,1750.0,2006-06-02,3.0,1
ccd01264eed929b82d4003fcdce85736,120.0,173.0,68.333336,58.999996,60.000004,74.0,55.0,UNRANK,2500.0,MASTER II,2684.0,2014-07-31,3.0,1
fc68a32950692ff790bd92cb066a64f0,125.0,17.0,51.666668,56.833332,57.0,64.0,55.333332,GRAND MASTER I,3055.0,GRAND MASTER II,3267.0,2005-12-06,3.0,1
502b6e40e6cef4db201a588c20f73977,126.0,2321.0,48.333332,58.333332,58.0,68.0,50.0,LEGEND,3672.0,GRAND MASTER I,3017.0,2012-03-28,3.0,1
54426b475bfc0c84eba9e490bd0ecae6,129.0,5190.0,96.666664,62.5,69.0,76.333336,62.0,UNRANK,2350.0,GRAND MASTER II,3250.0,2013-06-02,1.0,1
28881b22e56d1ebbf792d94f5fab6ed2,131.0,38136.0,68.333336,58.166664,58.666664,69.666664,55.333332,UNRANK,2000.0,GOLD II,2111.0,2017-04-27,3.0,1
b50e93b420473990d23459de55b61203,132.0,20212.0,95.0,83.5,80.333336,81.666664,79.0,SILVER III,1775.0,GOLD III,2346.0,2013-02-13,3.0,1
0f9cfab8569741459e9c2a440df4a74e,134.0,483.0,88.333336,62.833332,65.666672,75.0,64.0,GOLD I,1975.0,GOLD III,2368.0,2018-02-18,3.0,1
829b554a9d54873ddd2c8d14efe96680,135.0,90.0,78.333336,48.833336,46.666668,66.0,49.0,UNRANK,2350.0,UNRANK,2350.0,2019-10-11,3.0,1
c66ffea284872e0abf389280359bc617,105.0,1305.0,55.0,57.333332,59.0,67.666664,60.0,MASTER I,2400.0,UNRANK,2400.0,2018-12-07,3.0,1
f790fef8b19ccf53a5b32fafb52ff105,137.0,16274.0,95.0,56.833332,52.666664,67.333336,58.333332,MASTER III,2934.0,MASTER I,2589.0,2009-02-12,3.0,1
a562d72f5e2a91814cde18aa5a0c9b97,138.0,2007.0,100.0,70.333328,79.0,79.333336,79.0,UNRANK,2300.0,UNRANK,2300.0,2016-12-01,3.0,1
ee09be66fcfd5a10672223d9f542585c,142.0,727.0,88.333336,49.666668,47.333332,57.0,54.666668,GOLD I,1850.0,SILVER III,1630.0,2014-04-02,1.0,1
a5cd9595e1f9325195c08629431ab9ea,141.0,371.0,51.666664,49.0,56.25,57.0,44.285713,GOLD I,1861.0,GOLD III,2250.0,2007-01-09,3.0,1
79d0d4fffb37ce1d0ddf808c8cb63b60,142.0,559.0,40.0,40.333332,36.666668,56.0,36.0,SILVER I,1291.0,UNRANK,1400.0,2006-07-13,3.0,1
3228306efc0137bdce36418c13d941d5,143.0,4198.0,46.666668,61.166668,61.333336,77.0,60.0,UNRANK,1750.0,MASTER I,2525.0,2006-01-01,3.0,1
5eda75df3f580125d4c030740706d92e,144.0,172.0,48.333332,57.5,48.0,74.666664,59.666668,HIGH RANKER,4057.0,UNRANK,2450.0,2007-03-17,3.0,1
efd30cc1a1301bbfcc00e83592078a2d,114.0,96066.0,43.333332,51.5,45.614037,0.0,51.666668,UNRANK,1400.0,UNRANK,1400.0,2012-08-04,2.0,1
d2729e3ed99e1d97c04922997c004454,148.0,40139.0,100.0,94.0,92.666664,0.0,100.0,MASTER I,2587.0,UNRANK,2000.0,2010-05-30,3.0,1
f74b18622a190cf8775f51425dc76faa,149.0,9832.0,100.0,65.666672,66.666672,79.333336,55.333332,MASTER III,2924.0,MASTER III,2997.0,2006-02-12,3.0,1
3fac0580bde1babab2d7882d677f9109,149.0,620.0,68.421051,64.80687,75.862068,66.26506,53.125,UNRANK,2250.0,UNRANK,2250.0,2019-03-10,3.0,1
1179776494b4eb74195cad8b5cc050e1,150.0,114.0,90.0,59.666668,58.666668,72.0,60.333332,UNRANK,2086.0,UNRANK,1960.0,2015-07-02,3.0,1
f07e16a0ce9a959946e7fe8c2043b76c,152.0,74.0,50.0,50.833332,43.333332,25.0,54.333332,GOLD II,2063.0,MASTER I,2479.0,2007-12-12,3.0,1
2bf7afe25cb698532546956df11d218d,153.0,773.0,45.0,51.333332,50.333332,63.0,51.333332,UNRANK,2084.0,MASTER III,2896.0,2008-07-19,3.0,1
2439b139a720b2aa9e46321db1d911e3,154.0,3815.0,80.0,58.999996,60.333332,67.333336,58.666668,UNRANK,2500.0,GRAND MASTER I,3045.0,2014-02-06,3.0,1
fb776a5feeb22fb219b0beb05051b0a2,154.0,423.0,98.333336,65.333336,66.0,70.666664,70.0,GOLD I,1867.0,GOLD I,1937.0,2011-10-17,3.0,1
946e6a8ae5c8e4d24316d601d65eeb31,156.0,1805.0,51.666664,60.166668,59.666668,72.0,55.0,LEGEND,3684.0,UNRANK,2500.0,2005-10-08,3.0,1
ba9b226a5c6c8b7218fd953a8e6cf3f9,156.0,357401.0,100.0,75.0,0.0,100.0,0.0,UNRANK,1400.0,UNRANK,1400.0,2011-09-10,0.0,1
d6f659e89208ee013e6aef11c10601d1,160.0,78.0,61.111111,59.808613,50.0,72.868217,63.47826,UNRANK,2400.0,MASTER II,2619.0,2011-07-12,3.0,1
59fcd3e4826eafeb22b1179c41154b8f,158.0,1004.0,100.0,58.499996,59.333332,62.333332,59.0,GOLD III,2285.0,GOLD III,2309.0,2016-11-08,3.0,1
1fff781cdee150846edb0af047652fee,159.0,839.0,56.666668,62.0,100.0,75.333336,58.666668,UNRANK,1950.0,MASTER I,2400.0,2011-07-15,3.0,1
8a4bfd624198c6c3b55bf09d1145298f,162.0,10564.0,60.000004,61.0,52.666664,60.0,56.666668,GOLD I,1900.0,MASTER I,2590.0,2015-07-06,3.0,1
5594bf19111070d9a401dbac94109eb4,160.0,7754.0,38.333332,47.166668,38.0,55.333332,54.0,GOLD II,2160.0,MASTER II,2725.0,2011-11-16,3.0,1
b138e96334c3b6c78429957f1a89fcf6,164.0,372.0,51.666664,58.0,62.0,67.666664,59.333332,UNRANK,1750.0,GOLD I,1827.0,2011-06-30,3.0,1
210deb06fd9f19e4c7d6efe375be86fa,165.0,869.0,41.666664,41.666664,37.666668,50.0,55.172413,SILVER I,1288.0,UNRANK,1400.0,2006-12-03,3.0,1
ea9dcba8dc3df6ed62c637312c48c9f0,166.0,287.0,95.0,69.5,73.0,83.333336,68.0,UNRANK,1950.0,MASTER I,2599.0,2012-08-06,3.0,1
d0c4b0df4a10a9f1c1f0a04ba967bd6c,168.0,3379.0,100.0,100.0,0.0,100.0,0.0,UNRANK,1498.0,SILVER III,1674.0,2006-03-19,3.0,1
cba5c21892ab6a7949c43e6bca8dc2ef,169.0,128.0,90.0,60.666668,46.333332,60.666668,56.0,GOLD I,1944.0,UNRANK,1950.0,2010-07-25,3.0,1
b9282b1da17861088b498afa293b4cbd,170.0,3534.0,51.666664,49.833332,47.333332,63.333332,44.333332,GOLD I,1859.0,SILVER III,1768.0,2013-09-28,3.0,1
7424384d13b5aa1e704a0220554dee97,172.0,27.0,100.0,58.999996,50.666668,72.666664,51.333332,GOLD I,1861.0,GOLD I,1897.0,2018-10-02,3.0,1
fa976579eadf100f90b338fe6820b16e,174.0,23743.0,50.0,56.166668,57.333332,70.666664,48.0,UNRANK,1750.0,MASTER I,2502.0,2011-10-20,3.0,1
a518db4eb352ff7e09024feed780d13c,175.0,159.0,76.666664,64.166664,65.333336,80.0,60.0,GOLD III,2291.0,GOLD III,2396.0,2014-01-23,3.0,1
1213498adefba92baa7138aa0d050f6c,176.0,678.0,100.0,63.5,69.333336,77.0,66.333336,GOLD I,1819.0,UNRANK,1400.0,2006-01-07,3.0,1
a3d2c63f909d41e560d737e14b321c27,161.0,2346.0,43.333332,52.999996,49.666668,68.333336,53.356892,UNRANK,1750.0,UNRANK,1750.0,2014-06-30,3.0,1
8f9819acb514684d86c035b284e10dba,177.0,163353.0,45.0,44.666664,42.333332,52.666668,45.333332,UNRANK,1400.0,UNRANK,1400.0,2013-09-15,1.0,1
6071f4ba0b6ad1dda855fd54d8bf5c35,179.0,288.0,64.102562,57.915054,57.0,0.0,0.0,UNRANK,1413.0,SILVER III,1799.0,2020-10-09,3.0,1
534414ff89625147b46d0c64f00e4c10,180.0,291.0,81.666664,64.166664,59.0,76.333336,61.0,UNRANK,2450.0,GRAND MASTER II,3399.0,2016-05-14,3.0,1
