nickname,world_name,character_class,character_level,character_exp_rate,character_date_create,dojang_best_floor,dojang_best_time,popularity,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
다피,레드,카이저,292,57.309,2012-07-26T00:00+09:00,96,844,644,82556808,91729786,74.00,344.00,45.20,92.97,104,110.45,29,100,99999,160,123,323,1390,760,64956,7017,4515,4480,86239,22043,1478,4,4,4,-434,-211,246,144,79,4,107.00,5,6,7,5.00,6.00,90,275.00,10154,2036,248710074,10,2080.0,160.0,100.0
리기,엘리시움,데몬어벤져,289,14.698,2014-12-28T00:00+09:00,89,862,668,168615908,185292204,142.00,543.00,73.94,95.26,105,113.45,95,100,45988,170,123,330,1350,660,4307,4536,2191,2272,500000,,4,4,4,4,21876,0,282,120,65,4,20.00,4,6,7,5.00,6.00,91,129.00,7638,2018,357853407,10,1980.0,152.30769230769232,0.0
양파농부,스카니아,듀얼블레이더,290,19.606,2015-11-18T00:00+09:00,80,867,426,85132122,94591245,75.00,471.00,53.95,94.01,90,86.80,75,100,91505,160,123,302,1380,750,7827,10997,7485,70290,58853,39427,4,4,4,1468,350,3,184,143,105,6,20.00,5,6,0,5.00,6.00,90,154.00,9003,1796,325982994,10,2060.0,158.46153846153845,80.0
두개,베라,듀얼블레이더,292,48.423,2023-07-21T00:00+09:00,91,892,2166,95534766,106149738,69.00,532.00,53.95,95.91,87,111.50,66,100,99999,160,123,338,1370,770,10939,13418,8253,78695,80722,44244,4,4,4,1478,0,0,125,105,68,6,12.00,5,6,3,5.00,14.00,90,164.00,9254,2132,473234520,10,2070.0,159.23076923076923,90.0
유부남,엘리시움,다크나이트,291,21.469,2013-01-01T00:00+09:00,75,876,1689,148816327,165351472,73.00,351.00,167.30,95.49,83,126.40,51,100,99999,160,123,267,1350,750,65061,8041,5310,5764,82446,25942,1473,4,4,4,79,-365,243,142,55,4,102.00,6,6,7,5.00,0.00,90,215.00,8945,1929,261079353,10,2050.0,157.69230769230768,70.0
파이,엘리시움,나이트로드,293,1.623,2014-10-15T00:00+09:00,92,883,548,112403613,130701874,96.00,369.00,61.77,91.17,127,114.50,74,100,52478,160,123,303,1350,750,6089,8547,6369,67358,52449,30268,4,4,4,1483,0,-235,269,144,55,6,138.00,0,6,7,5.00,6.00,86,286.00,8474,2039,261668190,10,2070.0,159.23076923076923,90.0
심월호,베라,나이트로드,291,16.605,2019-01-17T00:00+09:00,89,868,137,159733934,187922274,54.00,587.00,61.77,96.45,109,120.50,65,100,76267,160,123,425,1350,720,10488,13183,10130,100663,48017,22540,4,4,4,1473,0,0,22,26,88,6,12.00,0,5,7,5.00,8.00,85,179.00,10366,2953,734528198,10,2040.0,156.92307692307693,60.0
악마듀,크로아,데몬어벤져,289,78.401,2023-07-23T00:00+09:00,64,867,33,227011049,252234498,105.00,518.00,57.24,97.03,90,110.80,39,100,57470,160,123,411,1390,660,5764,5073,3517,3498,500000,,4,4,4,4,21885,0,12,10,65,4,12.00,2,6,27,5.00,14.00,90,93.50,10586,2870,746248970,10,1980.0,152.30769230769232,0.0
살듯,루나,카인,289,64.826,2023-12-21T00:00+09:00,69,837,22,256880897,298698715,104.00,571.00,130.59,97.15,206,137.25,66,100,96357,160,123,411,1380,660,13368,101883,10320,10594,64438,37956,4,1463,4,4,0,0,16,6,50,6,12.00,0,5,7,5.00,13.00,86,90.00,11605,2703,740966641,10,1980.0,152.30769230769232,0.0
실사,크로아,"아크메이지(불,독)",291,9.326,2016-05-19T00:00+09:00,91,887,5722,185658691,195430199,125.00,548.00,54.00,97.38,90,113.50,49,100,40180,170,123,436,1350,750,8958,10878,104417,15162,44222,73432,4,4,1473,4,0,-245,24,29,197,4,12.00,6,6,0,15.00,13.00,95,158.00,3343,10859,740936731,10,2060.0,158.46153846153845,80.0
악덕,오로라,데몬어벤져,292,29.634,2022-05-09T00:00+09:00,86,877,5116,101109028,112343363,115.00,316.00,39.15,91.02,90,88.45,45,100,51930,160,123,298,1350,750,5077,4093,2325,2312,500000,,4,4,4,4,22110,0,245,124,68,4,132.00,2,6,7,5.00,0.00,90,294.00,7438,2150,262509706,10,2070.0,159.23076923076923,90.0
헹장군,베라,카인,294,50.223,2022-03-25T00:00+09:00,94,883,523,240460883,279605675,96.00,566.00,130.59,97.98,225,143.55,59,100,98168,160,123,422,1380,760,14071,101946,10241,10582,59228,36787,4,1488,4,4,0,0,50,30,55,6,12.00,5,6,7,5.00,6.00,86,235.00,11281,2988,738905465,10,2080.0,160.0,100.0
흑돼랑,크로아,팔라딘,293,1.088,2021-11-18T00:00+09:00,84,885,99,131820440,144857625,118.00,395.00,89.00,92.53,107,109.20,89,100,99999,160,123,335,1410,750,75213,9351,6657,6797,87378,35270,1483,4,4,4,0,0,278,122,55,4,102.00,0,6,7,5.00,0.00,91,316.50,8458,2060,299494215,10,2060.0,158.46153846153845,80.0
센터,스카니아,히어로,295,10.824,2018-06-23T00:00+09:00,89,875,3413,83489968,92766629,77.00,355.00,51.25,92.39,99,105.80,75,100,99999,160,123,272,1380,790,68701,9703,7427,6909,86496,38112,1493,4,4,4,0,150,246,145,55,4,137.00,3,6,0,5.00,6.00,90,288.00,8458,1923,266963751,10,2080.0,160.0,100.0
채영,크로아,아델,291,36.971,2020-01-16T00:00+09:00,91,892,2101,132116956,145183466,133.00,545.00,68.60,97.88,100,153.40,75,100,99999,160,123,305,1460,750,68878,11799,6674,6321,100764,26857,1473,4,4,4,0,0,315,192,74,6,12.00,5,6,12,5.00,6.00,91,166.00,9895,2267,326969782,10,2070.0,159.23076923076923,90.0
종빈,엘리시움,팔라딘,293,59.478,2017-08-06T00:00+09:00,95,877,2815,151569133,166559484,155.00,391.00,89.00,93.78,131,148.50,79,100,99999,160,123,290,1350,750,70228,9684,6618,6356,96662,45745,1483,4,4,4,350,-355,339,191,55,4,122.00,5,6,7,5.00,0.00,91,538.00,8875,2005,300924126,10,2070.0,159.23076923076923,90.0
캐논마서터,베라,캐논마스터,290,35.972,2018-04-06T00:00+09:00,93,894,5047,194292172,228579025,69.00,543.00,73.42,96.88,90,103.70,50,100,99999,160,123,414,1350,760,102898,16622,12110,11799,60854,33970,1468,4,4,4,50,-50,26,31,60,2,12.00,0,6,0,5.00,14.00,85,168.00,12142,2753,748837401,10,2080.0,160.0,100.0
화령,크로아,"아크메이지(불,독)",294,22.48,2016-09-24T00:00+09:00,73,899,14,262289952,273218696,121.00,346.00,231.10,93.80,111,110.45,63,100,31991,160,123,347,1350,760,7470,8241,75861,10696,52329,101592,4,4,1488,4,0,-184,290,194,193,4,110.00,5,6,0,15.00,0.00,96,525.00,2660,9905,325842183,10,2080.0,160.0,100.0
패망,크로아,듀얼블레이더,290,6.782,2017-02-01T00:00+09:00,81,892,640,151116478,167907196,66.00,497.00,53.95,90.59,87,114.40,60,100,99999,160,123,440,1350,750,13898,17514,13797,104758,51571,23602,4,4,4,1468,350,-214,22,27,79,6,52.00,5,6,7,5.00,14.00,90,133.50,11220,2781,734267149,10,2040.0,156.92307692307693,60.0
렙빨,루나,"아크메이지(불,독)",291,78.176,2023-12-27T00:00+09:00,65,895,73,112780166,118715962,124.00,298.00,54.00,93.54,101,103.55,61,100,31686,170,123,300,1370,760,6919,6127,70850,9958,62902,97543,4,4,1473,4,0,0,246,145,125,4,106.00,5,6,0,15.00,0.00,95,258.00,2750,9776,279429044,0,2080.0,160.0,100.0
수정산달팽이,스카니아,듀얼블레이더,290,9.752,2023-06-15T00:00+09:00,80,896,237,79346396,88162660,83.00,390.00,53.95,89.80,88,97.05,60,100,88251,160,123,285,1350,730,8332,11216,6700,65663,84521,38465,4,4,4,1468,518,284,243,143,116,6,99.00,5,6,3,5.00,6.00,90,238.00,8530,1860,279160786,10,2050.0,157.69230769230768,70.0
동동,엘리시움,듀얼블레이더,287,82.382,2014-08-09T00:00+09:00,80,890,175,81384288,90426985,77.00,338.00,53.95,81.90,84,95.00,52,100,79113,160,123,283,1350,660,5436,8290,5217,65807,54096,34644,4,4,4,1453,0,-245,210,126,46,6,125.00,5,6,6,5.00,0.00,90,229.00,9217,1821,263096426,10,1980.0,152.30769230769232,0.0
대갈텀,루나,팬텀,292,62.021,2012-08-25T00:00+09:00,90,870,2894,228171963,250738418,147.00,320.00,126.51,94.79,110,146.15,89,100,58537,168,123,364,1380,750,7931,10289,7565,74447,69850,47739,4,4,4,1478,-505,-260,283,198,80,5,114.00,5,6,13,5.00,0.00,91,727.00,11190,2658,323546465,10,2060.0,158.46153846153845,80.0
애정딘,베라,팔라딘,290,57.299,2017-05-23T00:00+09:00,74,892,80,72011518,80012796,71.00,431.00,54.00,95.97,110,112.15,84,100,99999,160,123,279,1350,750,63910,7772,5707,5074,122416,53532,1468,4,4,4,350,-116,242,129,55,4,60.00,3,6,7,5.00,0.00,90,193.00,8608,2028,292605839,12,2050.0,157.69230769230768,70.0
승수,엘리시움,"아크메이지(불,독)",292,85.333,2018-05-31T00:00+09:00,91,873,368,400117611,416789172,265.00,356.00,231.10,94.78,107,111.80,52,100,25080,160,123,294,1350,770,5502,5273,66978,7057,46071,86671,4,4,1478,4,0,0,291,256,195,4,28.00,5,6,0,15.00,6.00,96,649.00,2311,10452,305093105,10,2090.0,160.76923076923077,110.0
마기나,오로라,듀얼블레이더,291,12.09,2019-12-21T00:00+09:00,85,861,358,126658973,139185682,84.00,383.00,117.07,88.12,112,108.45,74,100,88925,160,123,284,1350,750,6701,9145,4516,67758,54996,25583,4,4,4,1473,550,300,267,140,55,6,71.00,5,6,7,5.00,0.00,91,167.00,9344,1647,299386606,0,2050.0,157.69230769230768,70.0
Riza,루나,듀얼블레이더,291,24.5,2010-12-17T00:00+09:00,87,876,438,83793197,93103551,80.00,492.00,53.95,92.87,88,114.85,83,100,95299,160,123,344,1400,760,8892,10968,7137,70269,49039,27632,4,4,4,1473,113,187,143,108,46,6,12.00,5,6,7,5.00,6.00,90,181.00,8588,1821,376478743,0,2050.0,157.69230769230768,70.0
명훈,스카니아,호영,292,35.179,2020-06-25T00:00+09:00,70,882,1154,238240762,261803033,77.00,464.00,101.37,93.91,110,138.15,67,100,74879,160,123,418,1460,760,9172,12360,9392,104467,51744,24968,4,4,4,1478,0,0,26,18,56,6,50.00,0,6,7,5.00,14.00,91,199.00,13133,2751,722069001,42,2080.0,160.0,100.0
버릇,베라,소울마스터,293,56.847,2022-07-13T00:00+09:00,94,878,2653,126223919,140248798,64.00,593.00,37.50,97.89,97,130.55,75,100,99999,160,123,412,1350,750,108434,15445,11645,11298,64986,20419,1483,4,4,4,0,0,25,29,109,4,12.00,0,6,7,5.00,14.00,90,191.00,10333,2996,727377229,10,2070.0,159.23076923076923,90.0
쿄코,크로아,나이트로드,292,9.146,2022-02-07T00:00+09:00,88,879,352,95260262,110767745,92.00,407.00,61.77,94.04,114,122.20,74,100,49346,170,123,277,1350,750,4471,7703,4597,65439,50863,32482,4,4,4,1478,0,0,299,190,87,6,118.00,0,6,7,5.00,6.00,86,839.00,7563,2071,245828500,12,2070.0,159.23076923076923,90.0
임무,스카니아,듀얼블레이더,293,95.843,2022-12-06T00:00+09:00,90,895,276,113385827,124599807,101.00,390.00,117.07,92.60,113,110.40,56,100,83847,160,123,315,1350,750,6946,8907,6233,62782,68327,29827,4,4,4,1483,534,292,284,260,88,6,118.00,5,6,7,5.00,0.00,91,749.00,8228,1784,252666228,10,2070.0,159.23076923076923,90.0
17학번,루나,듀얼블레이더,291,74.527,2019-12-23T00:00+09:00,80,882,10253,144285862,160317624,72.00,551.00,53.95,92.87,87,110.15,60,100,99999,160,123,430,1350,730,12093,15446,9477,95733,47056,23473,4,4,4,1473,550,300,23,27,60,6,12.00,5,6,7,5.00,14.00,90,125.00,11346,2510,722312598,10,2050.0,157.69230769230768,70.0
화티,스카니아,카인,291,53.028,2023-07-12T00:00+09:00,90,886,193,153283833,180333918,96.00,438.00,128.80,95.17,120,130.65,60,100,86622,160,123,335,1350,760,13242,79602,8829,8431,84152,36468,4,1473,4,4,0,0,144,123,87,6,99.00,0,6,7,5.00,0.00,85,227.00,9327,2344,387342198,0,2060.0,158.46153846153845,80.0
음혈,엘리시움,듀얼블레이더,287,61.639,2019-05-05T00:00+09:00,66,895,65,155648455,172942726,77.00,507.00,53.95,96.21,87,110.20,59,100,99999,160,123,435,1350,660,9437,13044,8818,98147,58146,22316,4,4,4,1453,550,300,22,16,103,6,12.00,5,6,7,5.00,8.00,90,200.00,11762,2644,725015197,10,1980.0,152.30769230769232,0.0
