nickname,world_name,character_class,character_level,character_exp_rate,character_date_create,dojang_best_floor,dojang_best_time,popularity,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
원분,엘리시움,듀얼블레이더,295,85.973,2016-07-21T00:00+09:00,94,860,1335,76884086,85426760,74.00,394.00,53.95,90.31,119,96.85,59,100,78118,170,123,289,1350,770,6684,8080,4173,60756,64480,45197,4,4,4,1493,79,95,247,147,55,6,107.00,5,6,7,5.00,0.00,90,264.00,9516,2025,275841386,10,2090.0,160.76923076923077,110.0
탑쑨,엘리시움,제논,295,60.457,2013-01-03T00:00+09:00,94,870,22127,212244334,235827036,106.00,549.00,26.50,96.80,90,105.55,82,100,99999,160,123,399,1380,770,57157,56216,23513,60358,77721,48933,836,330,4,335,0,0,32,20,75,5,12.00,3,6,7,5.00,14.00,90,174.00,9922,2693,717371949,12,2090.0,160.76923076923077,110.0
패우희,스카니아,히어로,287,47.249,2023-08-10T00:00+09:00,81,869,10,169335371,188150411,78.00,496.00,51.25,96.77,91,113.10,78,100,99999,170,123,420,1350,660,100789,14215,10266,10449,82550,23454,1453,4,4,4,0,0,12,14,50,4,12.00,5,6,0,5.00,14.00,90,80.00,11628,2867,715342073,0,1980.0,152.30769230769232,0.0
썬붕스,루나,"아크메이지(썬,콜)",291,61.453,2018-06-21T00:00+09:00,94,878,111,205851419,214428560,114.00,471.00,54.00,98.06,100,118.10,71,100,39676,168,123,438,1360,760,9882,9139,105050,12667,44923,76295,5,4,1472,4,0,0,48,28,203,4,12.00,0,6,0,15.00,13.00,96,189.50,3666,12526,714484911,0,2060.0,158.46153846153845,80.0
유격,스카니아,나이트로드,292,35.395,2015-09-05T00:00+09:00,90,897,1810,130801242,152094465,128.00,412.00,61.77,94.43,115,145.55,81,100,62442,160,123,293,1350,760,6454,8809,5723,68324,48551,32760,4,4,4,1478,-456,-264,340,255,90,6,151.00,0,6,7,5.00,0.00,86,870.00,8353,2137,261827483,12,2080.0,160.0,100.0
아키마,크로아,나이트로드,290,93.574,2019-12-13T00:00+09:00,69,877,13,183855832,213785848,187.00,398.00,61.77,94.99,115,119.10,79,100,56349,170,123,358,1350,750,7201,10616,6039,71744,66327,33247,4,4,4,1468,0,0,289,252,55,6,121.00,0,6,3,5.00,0.00,86,594.00,8842,2244,309603761,0,2070.0,159.23076923076923,90.0
에스,엘리시움,소울마스터,292,98.442,2022-07-23T00:00+09:00,82,890,141,68986778,75809645,74.00,412.00,37.50,95.89,100,112.15,73,100,99999,160,123,280,1350,770,67792,8342,5399,5573,67312,24765,1478,4,4,4,0,0,271,146,50,4,110.00,0,6,7,5.00,0.00,91,274.00,8460,2123,244221703,0,2090.0,160.76923076923077,110.0
술김,크로아,히어로,289,66.368,2024-12-25T00:00+09:00,77,894,15,221502240,246113597,83.00,421.00,247.88,95.20,100,108.10,74,100,99999,160,123,340,1360,550,66730,10599,6822,8858,113531,37947,1463,4,4,4,0,0,236,129,40,4,104.00,3,5,0,5.00,0.00,90,208.00,9674,2124,312041911,0,1870.0,143.84615384615384,0.0
공야,유니온,아델,292,21.873,2022-01-08T00:00+09:00,91,888,1351,123784299,136026701,101.00,418.00,68.60,90.12,108,121.80,80,100,99999,160,123,410,1350,760,77058,11075,7440,7604,77387,19566,1478,4,4,4,0,0,270,144,70,6,114.00,3,6,7,5.00,6.00,91,272.00,9670,2283,364325782,10,2080.0,160.0,100.0
부산,크로아,듀얼블레이더,293,96.322,2019-12-20T00:00+09:00,84,851,295,123633336,135860806,119.00,434.00,117.07,79.19,100,138.35,59,100,79685,160,123,314,1350,760,5362,8021,5374,63280,44690,25652,4,4,4,1483,0,0,290,254,73,6,156.00,5,6,7,5.00,0.00,91,730.00,8249,1965,251790733,10,2080.0,160.0,100.0
