character_level,character_exp_rate,dojang_best_floor,dojang_best_time,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,방어력,이동속도,스타포스,STR,DEX,INT,LUK,HP,MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
295,0.05939,86,877,18.384694786929682,18.490055283927965,95.0,390.0,53.95,0.8859999999999999,1.07,104.5,0.75,11.438589774582985,160,354,9.04381342108087,9.25339986143663,8.939843124278502,11.134092550662734,11.097925039878724,10.511267458374771,2.47,1.34,0.55,6,106.0,6,0.06,0.07,0.05,0.0,90,2.74,9.146548238888403,7.578656850594762,19.616517739154414,12,2090.0,160.76923076923077,110.0
293,0.61382,65,860,19.33608056708516,19.441441074335497,114.0,559.0,45.2,0.9758,0.9,122.45,0.65,11.512925464970229,168,432,11.636672900400718,9.430439293104167,9.05893591781695,9.074520648833648,11.07680525390243,9.737669067841187,0.26,0.3,0.86,5,12.0,0,0.06,0.07,0.05,0.14,90,1.68,9.464051924856811,8.054204897064407,20.695027535649604,0,2080.0,160.0,100.0
290,0.34159999999999996,0,0,18.40531979637596,18.510680292739675,101.0,307.0,39.15,0.8919,0.92,90.2,0.28,10.821876082492428,160,296,8.339739766019143,8.213381737034572,7.823645930834952,7.946617563244473,13.122365377402328,,2.38,1.48,0.55,4,136.0,2,0.06,0.07,0.05,0.06,90,2.61,9.036701015565063,7.559038255443384,19.398019112159698,0,2030.0,156.15384615384616,70.0
286,0.86811,97,823,19.471199301884972,19.57655980984816,91.0,524.0,55.23,0.9599,0.7,123.8,0.94,11.512925464970229,165,438,11.652287327324048,9.487138427825885,9.139059169971219,9.159257581746866,10.812693244687052,10.274292200380668,0.12,0.04,0.56,5,12.0,2,0.06,0.07,0.05,0.14,90,0.77,9.497472293122483,8.113726085970747,20.638149393617226,18,1980.0,152.30769230769232,0.0
292,0.8467,97,871,18.054294584141626,18.159655078161773,104.0,389.0,10.0,0.8903,1.29,119.35,0.7,10.960270394930397,160,295,8.849944227235596,9.177403871729918,8.653296274408579,11.085429448791242,10.93875172236773,10.392220929827303,2.45,1.44,0.51,6,139.0,5,0.06,0.07,0.05,0.14,90,2.96,9.160729871422848,7.56164174558878,19.528160083868798,0,2070.0,159.23076923076923,90.0
292,0.56011,0,0,19.159267080319527,19.32178600599499,66.0,572.0,73.42,0.9561,1.14,116.85,0.5,11.512925464970229,160,436,11.616798875435041,9.48774481001683,9.261793653565098,9.273596821611198,11.122841458900366,10.392282268231297,0.25,0.3,0.55,2,52.0,5,0.06,0.0,0.05,0.14,85,1.76,9.431802510507854,8.117312461601975,20.618564568381903,12,2070.0,159.23076923076923,90.0
291,0.51166,96,859,19.219209611446026,19.313520281557462,97.0,589.0,68.6,0.9667,1.0,124.8,0.6,11.512925464970229,160,419,11.612236720693426,9.522080709521035,9.184201714366488,9.148677711584076,11.354129010223076,10.167581090179292,0.25,0.29,0.83,6,12.0,5,0.06,0.17,0.05,0.14,91,1.91,9.42706335548747,7.99260665240021,20.605561341330677,0,2070.0,159.23076923076923,90.0
292,0.87827,91,883,18.21752730235841,18.26882057224075,68.0,552.0,67.31,0.9665,0.9,113.2,0.56,10.19432713480299,170,281,8.39638057119949,8.360539381370861,11.074916503786035,8.758883680017025,10.585068096724608,11.151539441301377,2.46,1.13,0.67,4,12.0,0,0.06,0.07,0.05,0.06,95,2.23,7.671826797878781,9.172742341560864,19.48368329523975,10,2080.0,160.0,100.0
290,0.09579,0,0,18.389217599702054,18.540040473750793,78.0,415.0,39.15,0.9048,0.89,122.25,0.86,10.89653560109229,160,288,8.783396232190894,9.153452509769135,8.832149906002899,11.154663548170214,11.019317430821303,10.338155412452387,2.64,0.41,0.85,6,52.0,0,0.06,0.0,0.05,0.0,86,2.18,9.104535313079205,7.687080155783135,19.598259675389937,0,2040.0,156.92307692307693,60.0
291,0.35087,96,885,18.93131157274705,19.09383049714383,69.0,566.0,42.56,0.9638,0.81,147.5,0.44,11.512925464970229,160,418,9.571783927990017,11.639240884974443,9.296151028389293,9.360310898552477,10.945317827105253,10.35051038444937,0.23,0.27,0.42,5,12.0,0,0.06,0.27,0.05,0.14,85,1.73,9.357639058997062,7.987864096085687,20.615784474994275,30,2050.0,157.69230769230768,70.0
