recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,ouid
40.0,40.333332,36.666668,56.0,36.0,79d0d4fffb37ce1d0ddf808c8cb63b60
46.666668,61.166668,61.333336,77.0,60.0,3228306efc0137bdce36418c13d941d5
48.333332,57.5,48.0,74.666664,59.666668,5eda75df3f580125d4c030740706d92e
43.333332,51.5,45.614037,0.0,51.666668,efd30cc1a1301bbfcc00e83592078a2d
100.0,94.0,92.666664,0.0,100.0,d2729e3ed99e1d97c04922997c004454
100.0,65.666672,66.666672,79.333336,55.333332,f74b18622a190cf8775f51425dc76faa
68.421051,64.80687,75.862068,66.26506,53.125,3fac0580bde1babab2d7882d677f9109
90.0,59.666668,58.666668,72.0,60.333332,1179776494b4eb74195cad8b5cc050e1
50.0,50.833332,43.333332,25.0,54.333332,f07e16a0ce9a959946e7fe8c2043b76c
45.0,51.333332,50.333332,63.0,51.333332,2bf7afe25cb698532546956df11d218d
80.0,58.999996,60.333332,67.333336,58.666668,2439b139a720b2aa9e46321db1d911e3
98.333336,65.333336,66.0,70.666664,70.0,fb776a5feeb22fb219b0beb05051b0a2
51.666664,60.166668,59.666668,72.0,55.0,946e6a8ae5c8e4d24316d601d65eeb31
100.0,75.0,0.0,100.0,0.0,ba9b226a5c6c8b7218fd953a8e6cf3f9
,,,,,5e02207be883f93c9316ac6df946d31e
61.111111,59.808613,50.0,72.868217,63.47826,d6f659e89208ee013e6aef11c10601d1
100.0,58.499996,59.333332,62.333332,59.0,59fcd3e4826eafeb22b1179c41154b8f
56.666668,62.0,100.0,75.333336,58.666668,1fff781cdee150846edb0af047652fee
60.000004,61.0,52.666664,60.0,56.666668,8a4bfd624198c6c3b55bf09d1145298f
38.333332,47.166668,38.0,55.333332,54.0,5594bf19111070d9a401dbac94109eb4
51.666664,58.0,62.0,67.666664,59.333332,b138e96334c3b6c78429957f1a89fcf6
41.666664,41.666664,37.666668,50.0,55.172413,210deb06fd9f19e4c7d6efe375be86fa
95.0,69.5,73.0,83.333336,68.0,ea9dcba8dc3df6ed62c637312c48c9f0
100.0,100.0,0.0,100.0,0.0,d0c4b0df4a10a9f1c1f0a04ba967bd6c
90.0,60.666668,46.333332,60.666668,56.0,cba5c21892ab6a7949c43e6bca8dc2ef
51.666664,49.833332,47.333332,63.333332,44.333332,b9282b1da17861088b498afa293b4cbd
100.0,58.999996,50.666668,72.666664,51.333332,7424384d13b5aa1e704a0220554dee97
50.0,56.166668,57.333332,70.666664,48.0,fa976579eadf100f90b338fe6820b16e
76.666664,64.166664,65.333336,80.0,60.0,a518db4eb352ff7e09024feed780d13c
100.0,63.5,69.333336,77.0,66.333336,1213498adefba92baa7138aa0d050f6c
43.333332,52.999996,49.666668,68.333336,53.356892,a3d2c63f909d41e560d737e14b321c27
45.0,44.666664,42.333332,52.666668,45.333332,8f9819acb514684d86c035b284e10dba
64.102562,57.915054,57.0,0.0,0.0,6071f4ba0b6ad1dda855fd54d8bf5c35
81.666664,64.166664,59.0,76.333336,61.0,534414ff89625147b46d0c64f00e4c10
83.333328,50.0,51.666664,66.0,64.333336,3fa406b1f01251972b9d546fb6a1ef7c
63.333332,54.5,57.666664,66.333336,65.333336,ba1625893c7b8ebc87465063e425eb57
100.0,49.5,55.555557,64.919357,43.0,88c7f7e8a7f346d0ab66a9dda0e2c546
50.0,51.0,55.0,65.758759,50.333332,6325bd2d0907dafffebac93f0c269e61
48.333332,50.666664,63.0,73.0,48.0,41d82f5534d2f219e1c420d033128a7b
90.0,56.666668,61.333332,62.0,57.0,baeaec85232b7b59b2b63ef351cd14e3
64.864861,57.620819,40.740742,69.230766,58.86076,8c27d951126ddba12ccf094b4b5fb4f4
55.0,52.499996,49.333336,58.666668,47.333332,8b7819156453522073e2495d5797bae3
65.0,59.166664,59.333332,64.317177,62.0,6bb067c0c60ed2c6af5dec07bac5d9ba
48.333332,49.666668,50.588234,56.410255,48.666668,d374c0582818c96c8d7067ca77f4ebfe
45.0,41.333332,39.0,18.333334,25.666666,840d8fa05aee75879a025c415b3676a4
45.0,54.5,61.333336,72.0,49.333332,52f676ce655a9acb1327d8b6bee93d54
51.666664,61.5,57.0,72.0,62.436546,cb031642fb9aa50c876d60b817863622
53.333336,50.833332,54.666668,49.659863,38.202248,0a00dc2b0546bfcd6798fc4be772e0f9
83.333336,70.333336,68.666664,83.666664,49.333332,9b63f37be284b9e4205dc7a4645cd528
55.0,63.166664,60.666668,76.0,59.666668,f54e2bf3c577aa3fd50578bb2c1937f9
51.666664,56.166668,58.999996,50.333332,55.666668,5447b3b22b84ace082f92dc3a437bc9b
43.333332,55.223881,56.395348,76.0,57.894737,41272652c2bba3865dfedda24a59462d
46.666668,46.333332,49.586777,58.666668,47.058823,b487ccabbc0f02100ecfadffe835167e
90.0,69.666664,0.0,77.666664,0.0,80a2dc0ea59dcef5b0aad82253ff3e6f
100.0,55.166668,56.333332,100.0,100.0,143925a0a08e52bd4b289dc0d3085074
90.0,54.333336,61.0,67.0,59.0,b4310b7df4769789e53d240aeb9dea55
50.0,44.166668,39.333336,54.666668,35.0,c355552a42729bb3aa3cc584ed86e20f
90.0,41.5,35.0,50.0,32.666668,facb4f6b8c5a1767bf1cdb41d540a65b
55.0,58.833332,56.666668,68.0,66.0,b93854f026f31513b2c0848b12bb3c60
55.0,60.833336,56.333332,73.666664,61.333332,16b9d109db50a18337285465fd68780d
50.0,58.666664,52.0,69.666664,53.333332,107f952ec161efb1dc760ae6c2c265a0
51.666664,55.0,58.0,68.333336,49.666668,080fa4a17acb6e0ffc9b400e558d5f7e
86.666664,52.666668,53.666668,68.666664,55.0,6acea493211b081c51f4c199d3f3edfb
58.333332,58.999996,55.0,74.666664,62.666668,5f71d06c9977b636adbf845704df861d
58.333332,52.999996,43.666668,53.051643,44.666668,9d9ec39dcd7edfbf7d696f941b261cb1
51.666664,57.0,57.666664,38.46154,49.666668,fbf3838823e5d15cf12cc6b7d2e992f5
100.0,56.0,68.0,68.333336,55.0,8b840e410c22ff7473087de302e6e94a
51.666664,43.833332,54.098362,52.888889,44.360901,9fee5c44ee2fa8d902edd2c9456f8f2d
53.333336,58.499996,36.363636,71.0,50.0,0514a90b73e94dcf8c13d85dac3caa15
96.666664,66.833336,66.333336,73.0,66.333336,0c84d3f430b4d23ae22934557b980d00
43.333332,51.666664,52.999996,66.0,44.333332,45afc9eca26756f58065d0a5b93a0312
88.333336,58.999996,57.0,96.333336,60.666668,cad95c4868e351237a0de4cac3e6cc03
96.666664,58.0,64.333336,68.333336,62.0,29b8e3f898515cc4e787b2ec74d12068
48.27586,51.598175,50.877197,64.705879,33.333332,6cbc6bc425b56afcb65094f7eed20be0
100.0,87.833336,82.822083,99.666664,82.333336,d9591b826db8d611f4eed014791889c6
,,,,,f9a482a58290fc0a3f833a95315a2aac
38.333332,50.5,55.333336,71.0,53.666668,a0d13ac7a3d778fe8680c842313f018f
58.333332,46.5,42.051281,61.403507,51.333332,ace637a4977e50b44d59ab29042afbd0
57.575756,56.333332,58.666664,66.820274,59.82143,7b4ccdd1a45d058dee208afb8ae7646f
51.666664,55.166668,56.666668,56.0,53.666668,e1a184b3d7fe960bac87efeb0fc0f5cf
55.0,60.166668,57.333332,75.0,61.333332,93b63931984005b6b24d0b213b46f61b
,,,,,d91f14c9f0f5e27fdefd745b5c154a0c
81.666664,60.833332,55.333332,72.666664,58.490566,c2f3058e2bee05bf17911c847fc827bb
55.0,52.14724,31.818182,65.384613,56.0,3481be46ed14b44101755ea4a326e9cc
100.0,100.0,0.0,100.0,0.0,c849050595d81e8fbe5eb34dade47db7
70.0,55.700325,0.0,63.08725,63.291138,d735ddb457a0d137c6c46d8153eba39f
50.0,54.5,55.666668,64.666664,53.666668,f36d846979fe2aaaac0de203bc1c111d
78.333336,64.666664,66.333336,79.0,69.0,42623e037e749483cdc4ecc20652003f
56.666668,51.166664,46.666668,60.185184,54.666668,d307763fd209492574ea383046a1275e
68.333336,57.333332,59.390862,72.0,57.0,0136f10d0f040ceb86007bbb3ef41231
