user_name,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_score,party_rank_match_score,is_win,is_draw,is_loss,kill,death,assist,total_matches,match_id,match_result,team_id,target
ceIebrity♡,12364.0,12497.0,98.333336,65.5,63.666668,78.666664,72.333336,2546,3655,1,0,0,11,6,0,1,250806234618124001,1.0,0.0,1.0
조금세,16565.0,1117.0,46.666668,38.833332,44.0,74.666664,32.666668,2799,2609,1,0,0,8,10,3,1,250807145954124001,1.0,0.0,1.0
lilitu,26599.0,34069.0,45.0,50.666664,47.0,61.0,48.57143,1619,2593,1,0,0,13,7,5,1,250807145954124001,1.0,0.0,1.0
고말순,71447.0,9495.0,50.0,46.166668,46.333332,62.0,50.0,3020,2849,1,0,0,13,9,4,1,250807145954124001,1.0,0.0,1.0
웅3잉,138.0,12293.0,75.0,57.333332,58.666664,65.666664,56.0,2870,2732,0,0,1,13,9,0,1,250807145954124001,2.0,1.0,0.0
ㅆ놈,2454104.0,257441.0,43.333332,42.5,42.666668,49.333332,46.470589,1712,1515,0,0,1,1,9,0,1,250806032445119001,2.0,1.0,0.0
거친,105.0,375.0,61.666668,60.666668,62.0,0.0,66.333336,2999,3057,1,0,0,9,5,4,1,250806032445119001,1.0,0.0,1.0
어재,23362.0,6484.0,100.0,59.016396,57.40741,0.0,0.0,2199,2197,1,0,0,15,5,2,1,250806032445119001,1.0,0.0,1.0
마루는기여워,4006.0,3755.0,45.0,63.333332,63.666664,76.333336,60.333332,2850,2678,0,0,1,10,9,0,1,250806032445119001,2.0,1.0,0.0
오늘의날,2123525.0,222527.0,53.333336,42.0,39.0,52.333332,47.953217,1400,1290,1,0,0,4,6,3,1,250806032445119001,1.0,0.0,1.0
[애옹],521047.0,284690.0,45.0,43.5,45.666668,55.0,51.445087,1718,1645,0,0,1,4,9,0,1,250806032445119001,2.0,1.0,0.0
승찬,3957.0,122714.0,51.666664,60.166668,57.666664,73.0,60.666668,2400,3066,0,0,1,13,12,4,1,250802002020124003,2.0,0.0,0.0
cosala,2684.0,6738.0,48.333332,54.5,56.333332,63.666668,57.666668,3939,2300,1,0,0,20,9,1,1,250802002020124003,1.0,1.0,1.0
ㄷㄷ,134.0,88.0,55.555557,63.75,66.666672,20.0,0.0,2350,2350,1,0,0,5,14,12,1,250802002020124003,1.0,1.0,1.0
수민,271.0,71.0,70.0,52.833332,50.666664,64.0,47.727272,2799,3210,0,0,1,13,12,4,1,250802002020124003,2.0,0.0,0.0
창욱,737.0,116.0,95.0,61.0,55.0,77.666664,61.666668,3950,3295,1,0,0,5,5,3,1,250802002020124003,1.0,1.0,1.0
myway,114.0,117.0,75.0,60.666668,56.333332,71.666664,62.666668,3888,3082,0,0,1,11,13,3,1,250802002020124003,2.0,0.0,0.0
단꿀,77098.0,256845.0,38.333332,40.666668,25.333334,20.333334,36.333332,1400,1400,0,0,1,6,11,3,1,250801234848124001,2.0,0.0,0.0
예슬,136.0,504.0,95.0,62.0,66.666664,74.666664,64.0,1999,2383,1,0,0,18,8,1,1,250801234848124001,1.0,1.0,1.0
미소뀨,245971.0,105906.0,61.666668,31.833332,32.666664,29.032259,100.0,1400,1400,1,0,0,3,10,8,1,250801234848124001,1.0,1.0,1.0
카이조,2513.0,4531.0,56.666668,49.666668,37.666668,57.0,43.0,1336,1783,1,0,0,10,11,3,1,250801234848124001,1.0,1.0,1.0
우떼,182184.0,36222.0,46.666668,49.333336,48.333332,60.0,53.333332,2122,2818,0,0,1,15,9,1,1,250801234848124001,2.0,0.0,0.0
정또지,79367.0,75437.0,48.333332,38.666664,37.333332,51.0,37.333332,1400,1400,0,0,1,3,12,3,1,250801234848124001,2.0,0.0,0.0
너무귀여움,750332.0,128158.0,51.666664,57.5,0.0,65.333336,0.0,1400,1650,0,0,1,11,11,0,1,250801234848124001,2.0,0.0,0.0
bentori,36075.0,832.0,53.333336,57.833332,58.999996,64.333336,53.666668,4217,2450,1,0,0,10,2,0,1,250720225729124002,1.0,1.0,1.0
임상아,4041.0,2039.0,0.0,0.0,0.0,0.0,0.0,2762,3285,0,0,1,4,6,2,1,250720225729124002,2.0,0.0,0.0
주빈,24076.0,92081.0,50.0,46.0,41.333332,58.666668,47.0,1600,1799,1,0,0,4,6,4,1,250720225729124002,1.0,1.0,1.0
BeagIe,1566.0,648.0,51.666664,57.333332,60.000004,72.333336,55.0,3316,2450,0,0,1,4,5,1,1,250720225729124002,2.0,0.0,0.0
천재,97.0,500.0,80.0,59.833336,58.0,71.333336,56.0,2450,2450,1,0,0,4,4,1,1,250720225729124002,1.0,1.0,1.0
오또시ㅋ,98352.0,25662.0,79.166664,60.098522,68.421051,65.5914,0.0,1400,1775,1,0,0,7,4,2,1,250720225729124002,1.0,1.0,1.0
살짝홀릭,185022.0,64584.0,51.666664,52.0,57.666664,51.0,56.451614,1400,1400,1,0,0,9,10,2,1,250428041105124001,1.0,0.0,1.0
살짝흐림,105.0,1305.0,55.0,57.333332,59.0,67.666664,60.0,2400,2400,1,0,0,11,9,5,1,250428041105124001,1.0,0.0,1.0
살짝테크,106570.0,77369.0,53.333336,55.5,55.333336,67.666664,40.384617,1500,2091,1,0,0,14,8,1,1,250428041105124001,1.0,0.0,1.0
사랑.Dc,53021.0,9762.0,46.666668,47.5,46.0,52.666668,48.666668,1500,1500,0,0,1,9,12,1,1,250405000928124001,2.0,0.0,0.0
깽히,146.0,4382.0,38.333332,55.5,56.333332,72.0,58.666668,1750,2975,1,0,0,19,9,1,1,250405000928124001,1.0,1.0,1.0
빠툐,103469.0,162175.0,58.333332,57.823128,0.0,63.157894,66.666664,1950,1950,0,0,1,11,13,4,1,250405000928124001,2.0,0.0,0.0
에스,86998.0,317865.0,50.0,44.666668,39.666668,48.666668,42.666668,1400,1400,1,0,0,5,11,2,1,250405000928124001,1.0,1.0,1.0
민감도적응중,101841.0,22570.0,48.333332,52.999996,52.333332,67.666664,58.333332,2296,3235,1,0,0,5,6,5,1,250806225241119001,1.0,0.0,1.0
쌈밥,16728.0,19829.0,51.666664,40.0,38.666664,54.0,39.0,2288,3576,1,0,0,3,6,3,1,250806225241119001,1.0,0.0,1.0
조건,44063.0,6351.0,51.666664,58.0,58.0,74.666664,57.0,2607,3227,1,0,0,7,3,0,1,250806225241119001,1.0,0.0,1.0
KiHyun,16404.0,7108.0,48.333332,53.500004,47.666664,60.333332,49.666668,2614,3328,0,0,1,11,7,0,1,250806225241119001,2.0,1.0,0.0
최민소,67913.0,51127.0,51.666664,57.333332,60.333336,72.666664,48.0,2799,1800,1,0,0,10,4,0,1,250806225241119001,1.0,0.0,1.0
녹화,3759.0,161.0,55.172413,50.5,55.555557,54.938271,55.405407,3188,3199,0,0,1,2,6,1,1,250806225241119001,2.0,1.0,0.0
정밍,8370.0,5025.0,48.333332,58.666664,55.666668,73.666664,52.0,2575,3701,1,0,0,9,5,1,1,250806225241119001,1.0,0.0,1.0
성이님,149.0,9669.0,96.666664,64.166664,63.0,78.666664,58.0,2854,3152,1,0,0,5,4,5,1,250806225241119001,1.0,0.0,1.0
유나봉,1783281.0,432401.0,51.666664,49.0,42.0,63.0,42.281879,1400,1400,1,0,0,11,9,1,1,250806205115124001,1.0,1.0,1.0
윤민영내장지방11,4228608.0,807673.0,26.666668,38.0,34.333332,50.0,40.404041,1400,1400,0,0,1,3,11,4,1,250806205115124001,2.0,0.0,0.0
문백이ub,42645.0,13129.0,53.333336,53.666668,52.0,72.333336,51.0,3597,1800,0,0,1,9,8,0,1,250806205115124001,2.0,0.0,0.0
버블리유,1159229.0,707164.0,35.0,47.833332,48.333332,55.333332,46.0,1400,1400,0,0,1,13,10,0,1,250806205115124001,2.0,0.0,0.0
멋웅,215047.0,142345.0,42.857143,48.874599,22.222223,59.903381,0.0,1400,1400,1,0,0,5,8,0,1,250806205115124001,1.0,1.0,1.0
30대무빙,639616.0,86980.0,50.0,58.666664,0.0,70.333336,0.0,1400,1400,1,0,0,18,7,0,1,250806205115124001,1.0,1.0,1.0
박사장시종,1133219.0,1356171.0,50.0,45.666668,47.333332,52.333332,45.714287,1400,1400,0,0,1,10,7,4,1,250806205115124001,2.0,0.0,0.0
흐안차은우,472699.0,87392.0,0.0,37.0,35.666664,38.666668,39.0,1234,1400,0,0,1,4,14,2,1,250807120129124001,2.0,1.0,0.0
와진짜개별로,878469.0,163973.0,0.0,41.666664,42.333336,45.333332,41.509434,1400,1400,0,0,1,11,12,5,1,250807120129124001,2.0,1.0,0.0
총알받이♪,670923.0,120989.0,0.0,50.833332,35.333332,57.0,40.666668,1400,1400,0,0,1,13,11,6,1,250807120129124001,2.0,1.0,0.0
캐나다메이플,484545.0,777403.0,51.666664,48.666668,37.666668,63.333332,43.037975,1400,1400,1,0,0,6,13,9,1,250807120129124001,1.0,0.0,1.0
박상키,10195.0,4496.0,66.666664,60.166668,56.756756,69.333336,0.0,1900,2149,1,0,0,15,10,0,1,250807120129124001,1.0,0.0,1.0
이도철입니다,76642.0,83721.0,53.333336,48.201439,41.148327,57.435898,56.81818,2328,2325,1,0,0,15,11,1,1,250807120129124001,1.0,0.0,1.0
보물,170.0,3367.0,85.714287,49.127182,51.829266,100.0,42.758621,1440,1852,1,0,0,14,10,5,1,250807120129124001,1.0,0.0,1.0
데들리,30761.0,5220.0,53.333336,48.166664,45.666668,56.666668,39.0,3668,2400,1,0,0,12,11,7,1,250806230547124002,1.0,1.0,1.0
핵키,201.0,3730.0,56.896553,55.172413,57.525085,60.91954,33.333332,3944,2400,1,0,0,13,9,4,1,250806230547124002,1.0,1.0,1.0
hayoung,8262.0,28139.0,53.333336,49.0,46.666668,60.669456,56.0,2131,2069,1,0,0,10,12,3,1,250806230547124002,1.0,1.0,1.0
Xeiya,92647.0,18967.0,46.666668,55.5,51.0,65.333336,47.0,4280,2599,1,0,0,19,10,2,1,250806230547124002,1.0,1.0,1.0
최석진,4437.0,14887.0,51.666664,55.0,53.333336,70.333336,51.0,2000,2400,1,0,0,14,8,2,1,250806230547124002,1.0,1.0,1.0
삼백,4741.0,8923.0,53.333336,56.833332,60.000004,60.333332,57.666668,1999,1600,0,0,1,10,13,5,1,250806203422124003,2.0,0.0,0.0
세금계산서,197.0,90.0,98.333336,68.666664,68.666664,80.0,52.0,2399,1755,1,0,0,12,5,2,1,250806203422124003,1.0,1.0,1.0
만취남^^;,636.0,638.0,61.666668,53.833336,1.333333,64.666664,49.333332,1800,1761,1,0,0,11,10,2,1,250806203422124003,1.0,1.0,1.0
