mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02355027198791504,0.00034998872935686177,0.005909585952758789,0.0009168498178435522,0.8,0.05,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.65,0.7083333333333334,0.7441860465116279,0.6938775510204082,0.7692307692307693,0.7131255400192277,0.041208824143821855,186,0.9714285714285714,0.9347826086956522,0.9608938547486033,0.9545454545454546,0.9545454545454546,0.9552391887927472,0.01194575707841107
0.032869720458984376,0.0009239438810375611,0.005210113525390625,0.0005957164499395521,0.8,0.05,3,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8}",0.7,0.6938775510204082,0.7441860465116279,0.76,0.7307692307692307,0.7257665656602533,0.025365555859649083,87,0.9941520467836257,0.9828571428571429,0.9828571428571429,0.9883720930232558,0.9941520467836257,0.9884780944609586,0.005051512646514318
0.03216462135314942,0.0029434601192814065,0.005917692184448242,0.0013208406720339285,0.8,0.05,3,150,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 150, 'subsample': 1.0}",0.631578947368421,0.7083333333333334,0.7441860465116279,0.6938775510204082,0.7450980392156863,0.7046147834898953,0.04163682981039676,231,0.9883720930232558,0.9830508474576272,0.9720670391061452,0.9942196531791907,0.9883720930232558,0.9852163451578949,0.007464190169579475
0.04268765449523926,0.0024800470850704307,0.005513429641723633,0.00032136924840326335,0.8,0.05,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.7,0.6938775510204082,0.7441860465116279,0.76,0.7307692307692307,0.7257665656602533,0.025365555859649083,87,0.9941520467836257,1.0,1.0,1.0,1.0,0.9988304093567251,0.0023391812865497298
0.047793245315551756,0.00933216478515039,0.007424592971801758,0.0026831541854441627,0.8,0.05,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6666666666666666,0.7346938775510204,0.7142857142857143,0.6938775510204082,0.7450980392156863,0.7109243697478991,0.02826116110124489,203,1.0,0.9942857142857143,0.9942857142857143,1.0,0.9941520467836257,0.9965446950710108,0.0028216668303822977
0.06884903907775879,0.007187612709735604,0.013330745697021484,0.006986828994013584,0.8,0.05,3,250,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 250, 'subsample': 0.8}",0.7,0.6938775510204082,0.7142857142857143,0.76,0.7307692307692307,0.7197864992150708,0.023794048921320598,136,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.057024240493774414,0.007585983045851851,0.005611228942871094,0.0004843418456443191,0.8,0.05,3,250,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 250, 'subsample': 1.0}",0.7317073170731707,0.7346938775510204,0.6829268292682927,0.6938775510204082,0.7307692307692307,0.7147949611364246,0.02186452754044379,169,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03497672080993652,0.0057341980144028,0.0078155517578125,0.0032161519925871782,0.8,0.05,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.717948717948718,0.68,0.7555555555555555,0.76,0.7307692307692307,0.7288547008547008,0.028956356760296523,66,0.9941520467836257,1.0,0.9942857142857143,0.9883720930232558,1.0,0.9953619708185191,0.004347488131412656
0.030662107467651366,0.0012494271477715743,0.005818939208984375,0.0011202021531377649,0.8,0.05,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6153846153846154,0.6938775510204082,0.7555555555555555,0.72,0.7307692307692307,0.7031173905459619,0.04812862431288368,234,0.9941520467836257,1.0,1.0,1.0,1.0,0.9988304093567251,0.0023391812865497298
0.04259524345397949,0.0017830909583122483,0.00621647834777832,0.0009282866417628946,0.8,0.05,5,150,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.8}",0.717948717948718,0.6938775510204082,0.7727272727272727,0.76,0.7307692307692307,0.7350645544931259,0.02845356817336143,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04480204582214355,0.003266072856556555,0.00571293830871582,0.00040056990352893866,0.8,0.05,5,150,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 150, 'subsample': 1.0}",0.6829268292682927,0.72,0.7727272727272727,0.6666666666666666,0.7307692307692307,0.7146179998862926,0.0373367819369698,171,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06775641441345215,0.0138494467110109,0.005112504959106446,0.0003735901094919888,0.8,0.05,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.7,0.6938775510204082,0.7727272727272727,0.76,0.7307692307692307,0.7314748109033824,0.0313693083601364,54,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05844874382019043,0.009191243578035125,0.005513477325439453,0.0010513203150494404,0.8,0.05,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.6666666666666666,0.7058823529411765,0.7142857142857143,0.72,0.7058823529411765,0.7025434173669469,0.018719252316804096,235,1.0,1.0,1.0,1.0,1.0,1.0,0.0
