user_name,is_win,is_draw,is_loss,kill,death,assist,total_matches,actual_win_rate,user_kda,user_kill,user_death,user_assist,kill_per_match,death_per_match,assist_per_match,match_id
"고양희,",1,0,0,14,11,6,1,1.0,1.818181818181818,14,11,6,14.0,11.0,6.0,250806003314124001
요네,0,0,1,18,10,1,1,0.0,1.9,18,10,1,18.0,10.0,1.0,250806003314124001
윤겔라,1,0,0,13,8,2,1,1.0,1.875,13,8,2,13.0,8.0,2.0,250806003314124001
효성,1,0,0,11,9,3,1,1.0,1.5555555555555556,11,9,3,11.0,9.0,3.0,250806003314124001
M16[1],1,0,0,8,7,0,1,1.0,1.1428571428571428,8,7,0,8.0,7.0,0.0,250203203030124002
정용화,1,0,0,11,6,1,1,1.0,2.0,11,6,1,11.0,6.0,1.0,250203203030124002
bbosik,0,0,1,9,15,9,1,0.0,1.2,9,15,9,9.0,15.0,9.0,250523212523124002
noss,1,0,0,11,14,9,1,1.0,1.4285714285714286,11,14,9,11.0,14.0,9.0,250523212523124002
yopIait,1,0,0,19,10,1,1,1.0,2.0,19,10,1,19.0,10.0,1.0,250523212523124002
뿌냠이,1,0,0,11,15,4,1,1.0,1.0,11,15,4,11.0,15.0,4.0,250523212523124002
서든러#000902225,0,0,1,18,11,3,1,0.0,1.9090909090909087,18,11,3,18.0,11.0,3.0,250523212523124002
서든러#000932012,0,0,1,10,13,8,1,0.0,1.3846153846153846,10,13,8,10.0,13.0,8.0,250523212523124002
서든러#000933891,0,0,1,13,15,5,1,0.0,1.2,13,15,5,13.0,15.0,5.0,250523212523124002
예민보스,0,0,1,12,14,6,1,0.0,1.2857142857142858,12,14,6,12.0,14.0,6.0,250523212523124002
즐겜돼지,1,0,0,12,11,8,1,1.0,1.818181818181818,12,11,8,12.0,11.0,8.0,250523212523124002
하정원,1,0,0,14,12,4,1,1.0,1.5,14,12,4,14.0,12.0,4.0,250523212523124002
foreverIove,1,0,0,18,9,2,1,1.0,2.2222222222222223,18,9,2,18.0,9.0,2.0,250806215404124001
slomo♡,0,0,1,14,14,2,1,0.0,1.1428571428571428,14,14,2,14.0,14.0,2.0,250806215404124001
성북구성북동,0,0,1,14,12,1,1,0.0,1.25,14,12,1,14.0,12.0,1.0,250806215404124001
솔킬,1,0,0,8,13,0,1,1.0,0.6153846153846154,8,13,0,8.0,13.0,0.0,250806215404124001
흥,1,0,0,10,6,0,1,1.0,1.6666666666666667,10,6,0,10.0,6.0,0.0,250806215404124001
"""_@_-_-",1,0,0,11,13,3,1,1.0,1.0769230769230769,11,13,3,11.0,13.0,3.0,250426031519124001
BUKKAKE,0,0,1,10,14,6,1,0.0,1.1428571428571428,10,14,6,10.0,14.0,6.0,250426031519124001
냉탄,0,0,1,15,9,0,1,0.0,1.6666666666666667,15,9,0,15.0,9.0,0.0,250426031519124001
롤링,1,0,0,14,10,2,1,1.0,1.6,14,10,2,14.0,10.0,2.0,250426031519124001
시~놈~발~,1,0,0,13,9,2,1,1.0,1.6666666666666667,13,9,2,13.0,9.0,2.0,250426031519124001
인포유대표,0,0,1,7,15,2,1,0.0,0.6,7,15,2,7.0,15.0,2.0,250426031519124001
ㅁㄴㅇㄹㄹ,1,0,0,14,4,1,1,1.0,3.75,14,4,1,14.0,4.0,1.0,250803181304124002
매우서운,1,0,0,11,6,5,1,1.0,2.6666666666666665,11,6,5,11.0,6.0,5.0,250803181304124002
