게임아이디,서버,직업,순위
챔잼,진,도사,9
리지아,진,도사,10
질투,진,궁사,1
황매화,진,궁사,2
릴릿궁,진,궁사,3
법뚜껑,진,궁사,4
저격,진,궁사,5
우주,진,궁사,6
머쉬,진,궁사,7
박꿍사,진,궁사,8
그까이꺼,진,궁사,9
차카니,진,궁사,10
스탁,진,천인,1
황천행,진,천인,2
바보야,진,천인,3
천십십사기,진,천인,4
쏭이,진,천인,5
삽살개,진,천인,6
모나양,진,천인,7
마키나,진,천인,8
시리피스,진,천인,9
상무천,진,천인,10
블랙,진,마도사,1
진실,진,마도사,2
프리,진,마도사,3
김연아존예,진,마도사,4
메에,진,마도사,5
네코광폭,진,마도사,6
마뚜껑,진,마도사,7
시리스,진,마도사,8
아카츠키버프,진,마도사,9
버프내놔,진,마도사,10
피트,진,영술사,1
신주,진,영술사,2
차크라,진,영술사,3
유난,진,영술사,4
태구,진,영술사,5
의식,진,영술사,6
현신,진,영술사,7
사스케,진,영술사,8
귀법,진,영술사,9
일라,진,영술사,10
죠쓰,진,차사,1
래자,진,차사,2
당월,진,차사,3
사신삼,진,차사,4
소수,진,차사,5
깡철,진,차사,6
케뽀,진,차사,7
동계,진,차사,8
혜카,진,차사,9
미아리,진,차사,10
바견아,진,살수,1
바나낫,진,살수,2
차밍,진,살수,3
참수,진,살수,4
마피아빈센조,진,살수,5
명쾌,진,살수,6
포비츠,진,살수,7
자체,진,살수,8
수고,진,살수,9
디귿,진,살수,10
