character_name,server_name,job,ocid
애니,유리,전사,13c3621bc5f9662a3a54e32842fcd07cf010c724ac34fd2bf446afaa979c1330
쌍칼,유리,전사,0d77e1b5741ca9633e8a9739f4a153545133251b15f2faf3f68acf93492ddfc1
경환,유리,전사,9b11f4fa64c2661dede328082a45be22fa95aa9463f0f985b2a02fddc8e9948b
난동,유리,전사,8539794a0d45cb494ae006e185475ceea9daa0725e7c0b1841718a5420a77202
싸이코,유리,도적,7f71958330a7f9ba9a494f354b469191cf9edf72d2cfc20d9a1e29904442bc0e
젠틀,유리,도적,dd0ec5491b10bae7effcf3af06e27ccd09136a7c8dc2ff6d6886b20b5189de3d
임프,유리,도적,d0e96aaba17353a495de3b1d39df8f1af3903ca952c4d7f2c6f0fac1e60c9513
교당,유리,도적,c2c8365e6b9a91413dbb8d253b469ca9d3924419b2036ed235c39e5a30c38abc
제독,유리,도적,63942461e24f8f21eb1c84cc10beab4ef577de2c8bdd0682cd8268cbe3f7f79f
블루,유리,도적,83e06f0eb5ae83f07f55c1463dba92a62c80a75b10a900bae7267f7b22c88765
금천지인패,유리,도적,e7d38255f099cbf44fa26090a5619c05a11b78a5d9673c3b41f95c158caab67e
민지,유리,도적,bfeb49bb50e5c72efa5f019ba00a876a28590c0d61512ca9fb28dc8d192920c7
작은향,유리,도적,ed62bbbe5c02905a362f19385323b485f4adf7c2a031c83569d02215f741b6ad
술퍼,유리,도적,8539794a0d45cb494ae006e185475cee6a1d1aeba26edd7d8aa67a7bff33580e
자두,유리,주술사,3cc4677ba0d25b4733f50f4487ab9db5b906646a9983b188b4170c096927bcc1
강산,유리,주술사,8539794a0d45cb494ae006e185475cee35dacb1bd07330e1aafd08d74967b71e
날때,유리,주술사,8539794a0d45cb494ae006e185475cee0df96e86035f2b1985a57da79b15394a
츠카,유리,주술사,8539794a0d45cb494ae006e185475ceee116711dda58ef9af058b2360e2ae415
에로,유리,주술사,5b2359733bc77b14945c900be5dd74bbf30a494b4d7deed1568555225d4465ab
회상,유리,주술사,959039f8b1b7f4a38abe54a293c4c544033c572904d19c382d0151afa1e59d12
핵터,유리,주술사,91d95e44c61225dd881826abd66e404ebf233c14caef05126d9450b92f31a21d
사과,유리,주술사,8539794a0d45cb494ae006e185475cee2bcbcaea86a6c71bd51d9c4bb36cc7c7
수장,유리,주술사,8539794a0d45cb494ae006e185475ceeabe07d99dde62d03e44865b710a5ce0c
구구단김세정,유리,주술사,8d871a7df4833ae3239114c4246e5aeef7ffe0d70b8cb6b1a039b20b226c450b
만두,유리,도사,1fd49fe13dda49d06b973583a5c25789b5e86da3a0586b26ec50503984b1b686
허니,유리,도사,89a072a2ca5d55d763b2c67d1cd0f5596befdff1fdd9f17c961398e59dc40453
키스,유리,도사,6d37c733e4786be35c6197addc1f7f8013a9787b55dba6b2d8249c803fe4a4df
루루,유리,도사,3cd258090f520e65b19a4a8cd3282143364efbf8b23d26b35c58ea19edcf1249
영원,유리,도사,4720d8734f50ef0b2f6376057e4d71cf90407ab55f49c9cc7b4173890a9e9357
나무,유리,도사,97d240acaa707e9ae28ade4d1fbc20d568daf667977f7b7b38f70f67b93e90ac
요정,유리,도사,f2078566f34aaccbaced0208b9c835892581e028b0495c51f3249775b110d725
뽀야,유리,도사,c2a9d69dd1acd2bfe5ebc8dd68e644809e967dd20b873b4ac3625fe271a3a90e
필드,유리,도사,55bd4570c623d129c7c2dfdd1690d4233a66d016f48ae151db6f6fde93d9a4d7
빈끼,유리,도사,8539794a0d45cb494ae006e185475ceea6866ea5c82503451b2001eb6eb132f6
와인,유리,궁사,1dad503581bb339b4c199551a9747714475e1813d3efb55b90bdf82b91ca6243
라라,유리,궁사,ea863392cef2470a9ce54a2471f0cac9230ad48f7fe594baad1d643c41912392
우유,유리,궁사,8539794a0d45cb494ae006e185475cee79fc636299ee6f27a8e0e1a56304c758
한조,유리,궁사,8539794a0d45cb494ae006e185475cee93bffea025472292e1951d11c6028924
라면,유리,궁사,139fb79ec0468e1ea2d97072b714343c09136a7c8dc2ff6d6886b20b5189de3d
조그맨,유리,궁사,8539794a0d45cb494ae006e185475cee97d4b36b8434f6ee3c64b1cd8fd0d6d5
동도나나나,유리,궁사,d5aacd48b86c1b3a777c090a12775ff01c930304f276f5aed366f8dd3987e733
궁수,유리,궁사,1baf90d2f73b74347ca09f21987247c31c462397426aa006bbafbf7340208231
연사,유리,궁사,8539794a0d45cb494ae006e185475cee013d8dd9dc90e3239511b6302540364b
토게,유리,궁사,8539794a0d45cb494ae006e185475ceee64d6e4bc3b2774790a89b3050a0ff2b
검도,유리,천인,9c876c54a69edc7e662a4de11531f1d46145781ee4ddfb11309b9fdc4ab43e66
뽀뽀,유리,천인,5c6722ecf718352c63235bceec3c45221c093150d8c67aa37c548653de6720f6
잭스,유리,천인,2f7f5cd62e781aa614402b7b4d9e293c9095cf942cf4d7f812ccc4a618980cee
아리,유리,천인,f88660003af10967b78b9211162b138cc7a6bb2e2ee9005b92722f6c8b4a6afd
악동,유리,천인,8539794a0d45cb494ae006e185475cee9e15a2d597c34f02d21f3f4b63ecf896
릴리,유리,천인,b260bfa238cade60ee0a5023e4242ab569f3a16ccbcc3b9f817648dd8f6e4106
체리,유리,천인,62bda9e0f867e083385919f25f2d52e2bba518daffd38cb8ab4b817a0bc73232
예토,유리,천인,2af4c0385884ddd333bf69251baaabc2a645ec2bbb07d2971d777da25f2c16f9
칵텔,유리,천인,a6b0302dae63da7ad28891b7c8bf0d9b98a16dd66191baec8ff0d2da333893a1
설매,유리,천인,9584a7ea0f3d8aa25232ee1adcea9ec547084fc333275cb5eaea709a8f54bc15
이별,유리,마도사,bd3208a1e7df5e5d9bb2264699fea22cea95158b54a6dcb4cd7e585fc15e1272
청록마녀,유리,마도사,59e1def347afff3e35a77cf833026f4f7fe30577cd06cec03806b041c1293227
신라라실,유리,마도사,1baf90d2f73b74347ca09f21987247c3851164f966b295d680e5ea0902c4764b
달디,유리,마도사,96fa5e903d6dde5aa1e12caed603ddfaa8929ff288c9076d5d830ae54480fa84
내일도달려,유리,마도사,0a2defb9a982b9f2ea73d8008c2f35d88d85f1244b8c43dc9b0ce6eec2be501d
해골,유리,마도사,600759e6033742fffb6c3ce708a39b6bca7371ebf83e50bf454b75e80269b639
자동,유리,마도사,be43e4e8ad4b88efba4ee12417adebddfb208e63f9e94ec3d2325187928a9342
마릭,유리,마도사,4f1627bd60a89d49403190bd2bd755c3f1e64a86cb9f2ce2af048a6254e9d2a8
변이빵빵,유리,마도사,1d37deeccf2ac86fa0cfa91d631c6c67db3658531256d3758d0fd8b24c387516
여름,유리,마도사,8539794a0d45cb494ae006e185475ceefd3a728e39ff6d7adc8329ec6f82a19d
제트,유리,영술사,6dc6c01119f936b1eeb510f75840dd5283523ad5ad07f701a3b60c0c51cc7e70
로포피,유리,영술사,8539794a0d45cb494ae006e185475cee48b32aaf130f51ba1c73e282c0104771
다니,유리,영술사,8539794a0d45cb494ae006e185475cee834c79af472556165ce1e98ecd647019
청록신녀,유리,영술사,5c8fb7faa8198412a60fa7c52342be55962d17f45bacb7e4a5cb96596abe5914
광양,유리,영술사,2e25a7b673c0a3f9022f7647c607f64d2139c06a3a6f06ab3654bff0c396b1c4
쌈바디,유리,영술사,d03105b9bb8e110002fb4c0a75d4112debbc8bbf88793e9d6d9e1bc0a4eb7893
서채,유리,영술사,8539794a0d45cb494ae006e185475ceed6becc90db529fe30e7fb278e9cecd97
